Cluster,Similarity Ratio
Cluster_8,0.8932806324110671
Cluster_15,0.9619047619047619
Cluster_23,1.0
Cluster_26,1.0
Cluster_37,1.0
Cluster_42,1.0
Cluster_51,1.0
Cluster_70,1.0
Cluster_82,0.9051383399209486
Cluster_87,1.0
Cluster_95,1.0
Cluster_103,0.8666666666666667
Cluster_107,1.0
Cluster_113,1.0
Cluster_122,1.0
Cluster_125,1.0
Cluster_134,1.0
Cluster_138,0.8181818181818182
Cluster_140,0.8888888888888888
Cluster_145,1.0
Cluster_155,1.0
Cluster_162,0.7727272727272727
Cluster_168,1.0
Cluster_176,1.0
Cluster_186,0.9960474308300395
Cluster_191,0.9
Cluster_198,1.0
Cluster_204,0.9487179487179487
Cluster_215,1.0
Cluster_219,1.0
Cluster_220,1.0
Cluster_241,1.0
Cluster_258,1.0
Cluster_260,0.5333333333333333
Cluster_262,1.0
Cluster_266,1.0
Cluster_273,1.0
Cluster_274,0.6043956043956044
Cluster_275,1.0
Cluster_276,1.0
Cluster_285,0.9090909090909091
Cluster_304,1.0
Cluster_315,1.0
Cluster_330,0.9122807017543859
Cluster_342,1.0
Cluster_344,0.910873440285205
Cluster_345,1.0
Cluster_346,1.0
Cluster_351,1.0
Cluster_363,1.0
Cluster_376,1.0
Cluster_386,1.0
Cluster_410,0.8545454545454545
Cluster_413,0.9523809523809523
Cluster_419,1.0
Cluster_424,1.0
Cluster_437,0.0
Cluster_456,1.0
Cluster_482,1.0
Cluster_484,1.0
Cluster_486,1.0
Cluster_506,1.0
Cluster_511,1.0
Cluster_527,1.0
Cluster_533,1.0
Cluster_546,0.925
Cluster_547,1.0
Cluster_554,1.0
Cluster_565,1.0
Cluster_571,1.0
Cluster_598,1.0
Cluster_605,1.0
Cluster_610,1.0
Cluster_619,1.0
Cluster_649,1.0
Cluster_672,1.0
Cluster_682,1.0
Cluster_690,0.9001782531194296
Cluster_698,1.0
Cluster_706,1.0
Cluster_713,1.0
Cluster_716,0.0
Cluster_719,1.0
Cluster_730,1.0
Cluster_741,1.0
Cluster_760,0.7619047619047619
Cluster_762,1.0
Cluster_763,0.0
Cluster_764,0.8333333333333334
Cluster_772,1.0
Cluster_773,1.0
Cluster_820,1.0
Cluster_825,0.9841897233201581
Cluster_826,1.0
Cluster_827,0.8666666666666667
Cluster_832,1.0
Cluster_840,1.0
Cluster_851,1.0
Cluster_857,1.0
Cluster_867,1.0
Cluster_868,1.0
Cluster_871,1.0
Cluster_880,1.0
Cluster_887,1.0
Cluster_890,1.0
Cluster_896,1.0
Cluster_906,1.0
Cluster_913,1.0
Cluster_933,1.0
Cluster_956,1.0
Cluster_958,0.5
Cluster_968,1.0
Cluster_998,1.0
Cluster_1039,1.0
Cluster_1045,1.0
Cluster_1059,1.0
Cluster_1060,0.0
Cluster_1078,0.0
Cluster_1098,1.0
Cluster_1100,1.0
Cluster_1116,1.0
Cluster_1129,1.0
Cluster_1138,1.0
Cluster_1154,1.0
Cluster_1181,1.0
Cluster_1206,1.0
Cluster_1228,1.0
Cluster_1240,1.0
Cluster_1261,1.0
Cluster_1291,0.7
Cluster_1292,1.0
Cluster_1308,1.0
Cluster_1319,1.0
Cluster_1345,1.0
Cluster_1351,1.0
Cluster_1364,1.0
Cluster_1368,1.0
Cluster_1400,0.6666666666666666
Cluster_1402,1.0
Cluster_1431,1.0
Cluster_1443,0.7833333333333333
Cluster_1458,1.0
Cluster_1506,1.0
Cluster_1512,1.0
Cluster_1517,1.0
Cluster_1538,1.0
Cluster_1544,1.0
Cluster_1567,1.0
Cluster_1579,1.0
Cluster_1592,0.5333333333333333
Cluster_1596,1.0
Cluster_1599,1.0
Cluster_1627,1.0
Cluster_1634,1.0
Cluster_1641,0.3333333333333333
Cluster_1643,1.0
Cluster_1644,1.0
Cluster_1659,0.0
Cluster_1669,1.0
Cluster_1688,0.0
Cluster_1700,1.0
Cluster_1714,1.0
Cluster_1728,1.0
Cluster_1750,1.0
Cluster_1756,1.0
Cluster_1779,1.0
Cluster_1787,1.0
Cluster_1792,1.0
Cluster_1801,1.0
Cluster_1837,1.0
Cluster_1848,1.0
Cluster_1850,1.0
Cluster_1870,0.7333333333333333
Cluster_1883,1.0
Cluster_1889,1.0
Cluster_1899,0.3333333333333333
Cluster_1915,1.0
Cluster_1923,1.0
Cluster_1986,1.0
Cluster_1999,1.0
Cluster_2017,1.0
